,P1,P2
728,P05164,P01584
729,P05164,P00403
730,P05164,P05231
731,P05164,P23219
732,P05164,P12724
733,P05164,P02751
734,P05164,P08246
735,P05164,P23141
736,P05164,P01375
737,Q93086,Q05586
738,Q93086,Q99571
739,Q93086,P51575
740,Q93086,Q99572
741,Q93086,Q14957
742,Q93086,P41231
743,Q93086,P56373
744,Q93086,Q12879
745,Q93086,O15547
746,Q93086,O15399
747,P11678,P12724
748,P51575,Q99572
749,P51575,Q12879
750,P51575,O15547
751,P51575,Q9H244
752,P51575,P47900
753,P51575,O15399
754,P51575,Q14957
755,P51575,Q99571
756,P51575,Q15391
757,P51575,P41231
758,P51575,Q05586
759,P51575,Q9BPV8
760,P51575,Q96G91
761,P51575,P56373
762,P51575,P51582
763,Q16515,P78348
764,Q16515,P78352
765,P13500,Q16552
766,P13500,P29460
767,P13500,P01583
768,P13500,P05362
769,P13500,P25024
770,P13500,P01579
771,P13500,P05412
772,P13500,P61073
773,P13500,P19838
774,P13500,Q04206
775,P13500,P05231
776,P13500,O00206
777,P13500,P01584
778,P13500,P15692
779,P13500,P60568
780,P13500,P01100
781,P13500,P18848
782,P13500,P19320
783,P13500,P05113
784,P13500,P01375
785,P02452,Q32P28
786,P02452,O00469
787,P02452,O15460
788,P02452,P13674
789,P02452,P08123
790,P02452,P06400
791,P02452,P02751
792,P02452,P35916
793,P02452,P02461
794,P02452,P02818
795,P02452,P06756
796,P02452,P05106
797,Q9UQL6,O15379
798,Q9UQL6,Q13555
799,Q9UQL6,Q13547
800,Q9UQL6,Q92769
801,Q9UQL6,P04637
802,Q9UQL6,P56524
803,Q06432,O95180
804,Q06432,Q02641
805,Q06432,Q8IZS8
806,Q06432,P54284
807,Q06432,Q00975
808,Q06432,Q13698
809,Q06432,Q01668
810,Q06432,Q9Y698
811,Q06432,Q9UBN1
812,Q06432,O60840
813,Q06432,P62955
814,Q06432,Q08289
815,Q06432,P21817
816,Q06432,Q7Z3S7
817,Q06432,P54289
818,Q06432,Q13936
819,Q06432,Q9UF02
820,Q06432,Q9NY47
821,Q06432,O00305
822,Q06432,Q8WXS5
823,Q06432,O00555
824,P28907,P21589
825,P28907,P00491
826,P28907,P15391
827,P28907,P61073
828,P28907,Q10588
829,P28907,P05771
830,P28907,Q9NXA8
831,P28907,P08637
832,P28907,P40261
833,P28907,Q92736
834,P28907,P05129
835,P28907,P13612
836,P28907,P22413
837,P28907,P08473
838,P28907,P21817
839,P28907,P20138
840,P28907,P17252
