,G1,G2
821,SOS 2,EGFR
822,SOS 2,GRB2
823,SOS 2,KRAS
824,AHSA1,HSPA4
825,AHSA1,HSP90AA1
826,AHSA1,CACYBP
827,AHSA1,PTGES3
828,CHGA,SYP
829,CHGA,STX1A
830,CHGA,ENO2
831,CHGA,CHGB
832,EIF5,EIF2S2
833,EIF5,EIF3I
834,EIF5,EIF2S3
835,EIF5,EIF2S1
836,MTHFD1,MTR
837,MTHFD1,ATIC
838,MTHFD1,SHMT2
839,MTHFD1,SHMT1
840,MTHFD1,MTHFD2
841,MTHFD1,GART
842,MTHFD1,FPGS
843,MTHFD1,DHFR
844,MTHFD1,TYMS
845,NFKBIA,VCP
846,MTHFD1,MTHFR
847,NFKBIA,CD40
848,NFKBIA,MYC
849,NFKBIA,PIK3CA
850,NFKBIA,HDAC3
851,NFKBIA,NR2F1
852,NFKBIA,MYD88
853,NFKBIA,TRAF1
854,NFKBIA,SP1
855,NFKBIA,PRKCB
856,NFKBIA,XPO1
857,NFKBIA,CD40LG
858,NFKBIA,ARRB2
859,NFKBIA,REL
860,NFKBIA,NOS2
861,NFKBIA,PSMD6
862,NFKBIA,TNF
863,NFKBIA,PRKCA
864,NFKBIA,SRC
865,NFKBIA,PSMD12
866,NFKBIA,NFKB2
867,NFKBIA,TNFAIP3
868,NFKBIA,TYK2
869,NFKBIA,JUN
870,NFKBIA,MAPK3
871,NFKBIA,SQSTM1
872,NFKBIA,IL12RB1
873,NFKBIA,EP300
874,NFKBIA,IKBKB
875,NFKBIA,PIK3R1
876,NFKBIA,IL12B
877,NFKBIA,PPARA
878,NFKBIA,BCL10
879,NFKBIA,TRAF6
880,NFKBIA,AURKA
881,NFKBIA,PAWR
882,NFKBIA,TP53
883,NFKBIA,TGM2
884,NFKBIA,RELA
885,NFKBIA,NFKB1
886,NFKBIA,IRAK1
887,NFKBIA,CREBBP
888,NFKBIA,PSMD9
889,NFKBIA,COX2
890,NFKBIA,JAK2
891,NFKBIA,HDAC1
892,NFKBIA,PSMB7
893,NFKBIA,MAPK14
894,NFKBIA,SYK
895,NFKBIA,IL23R
896,NFKBIA,IKBKG
897,NFKBIA,IL23A
898,NFKBIA,LPAR1
899,NFKBIA,NGF
900,NFKBIA,PRKCD
901,CYP24A1,VDR
902,CYP24A1,CYP27B1
903,AURKA,PLK1
904,AURKA,FOXM1
905,AURKA,PRKACA
906,AURKA,PAK1
907,AURKA,MYC
908,AURKA,KIF2C
909,AURKA,PTTG1
910,AURKA,MYCN
911,AURKA,CDC25B
912,AURKA,GSK3B
913,AURKA,BIRC5
914,AURKA,CPEB1
915,AURKA,AKT1
916,AURKA,MKI67
917,AURKA,RASA1
918,AURKA,UBE2C
